iteration,train_start,train_end,test_end,model,index,mae,rmse,mae_roll,rmse_roll,high_error_regime
1,2000-01-04,2009-08-31,2009-11-26,ARIMA,IBEX,0.0101867662864151,0.0124723833146993,0.0101867662864151,0.0124723833146993,0
2,2000-03-31,2009-11-26,2010-02-23,ARIMA,IBEX,0.0101722782450459,0.0139955134172773,0.0101795222657305,0.013233948365988301,0
3,2000-06-28,2010-02-23,2010-05-21,ARIMA,IBEX,0.0164210374050157,0.0258687473624986,0.012260027312158901,0.017445548031491735,1
4,2000-09-25,2010-05-21,2010-08-18,ARIMA,IBEX,0.0138274077313081,0.0184341245659299,0.012651872416946201,0.017692692165101276,1
5,2000-12-21,2010-08-18,2010-11-15,ARIMA,IBEX,0.0088059247815531,0.0112081806493598,0.0123066620407307,0.0173766414987664,1
6,2001-03-20,2010-11-15,2011-02-10,ARIMA,IBEX,0.0114041743368751,0.0155059988992339,0.012614636063688001,0.01775426286925555,1
7,2001-06-15,2011-02-10,2011-05-10,ARIMA,IBEX,0.0076067732878974,0.0101857539755572,0.010411070034408425,0.013833514522520199,0
8,2001-09-12,2011-05-10,2011-08-05,ARIMA,IBEX,0.0115304740329261,0.0148599628116454,0.009836836609812924,0.012939974083949075,0
9,2001-12-10,2011-08-05,2011-11-02,ARIMA,IBEX,0.0204326772246764,0.0250611709978369,0.01274352472059375,0.01640322167106835,1
10,2002-03-07,2011-11-02,2012-01-30,ARIMA,IBEX,0.0125927216073852,0.0162150396539395,0.013040661538221275,0.01658048185974475,1
11,2002-06-04,2012-01-30,2012-04-26,ARIMA,IBEX,0.0117391990918161,0.0153990959854112,0.014073767989200951,0.017883817362208253,1
12,2002-08-30,2012-04-26,2012-07-24,ARIMA,IBEX,0.0161989281757516,0.0206679237053694,0.015240881524907324,0.01933580758563925,1
13,2002-11-27,2012-07-24,2012-10-19,ARIMA,IBEX,0.0155007298515293,0.0214024222101768,0.014007894681620548,0.018421120388724226,1
14,2003-02-24,2012-10-19,2013-01-16,ARIMA,IBEX,0.0068329482564634,0.0097127223467431,0.0125679513438901,0.016795541061925125,1
15,2003-05-22,2013-01-16,2013-04-15,ARIMA,IBEX,0.0113970519929899,0.0142962854413871,0.012482414569183552,0.0165198384259191,1
16,2003-08-19,2013-04-15,2013-07-11,ARIMA,IBEX,0.0098060736576996,0.012570641332567,0.01088420093967055,0.0144955178327185,0
17,2003-11-14,2013-07-11,2013-10-08,ARIMA,IBEX,0.0079922032517,0.0101711419388543,0.009007069289713225,0.011687697764887874,0
18,2004-02-11,2013-10-08,2014-01-03,ARIMA,IBEX,0.007326556857357,0.0090184595104565,0.009130471439936625,0.011514132055816226,0
19,2004-05-10,2014-01-03,2014-04-02,ARIMA,IBEX,0.0082995832579602,0.0110388418300888,0.008356104256179199,0.010699771152991651,0
20,2004-08-05,2014-04-02,2014-06-30,ARIMA,IBEX,0.0061342406794107,0.0082087880209446,0.007438146011606975,0.00960930782508605,0
21,2004-11-02,2014-06-30,2014-09-25,ARIMA,IBEX,0.0077361571512714,0.0098684762018745,0.007374134486499825,0.0095336413908411,0
22,2005-01-28,2014-09-25,2014-12-23,ARIMA,IBEX,0.0128050995429208,0.0158266036469909,0.008743770157890775,0.0112356774249747,0
23,2005-04-27,2014-12-23,2015-03-20,ARIMA,IBEX,0.0093097116067939,0.0124398876460842,0.0089963022450992,0.01158593887897355,0
24,2005-07-25,2015-03-20,2015-06-17,ARIMA,IBEX,0.0072910887911304,0.0097097530822612,0.009285514273029125,0.0119611801443027,0
25,2005-10-20,2015-06-17,2015-09-14,ARIMA,IBEX,0.0126997816578777,0.0168636826972854,0.0105264203996807,0.013709981768155424,0
26,2006-01-17,2015-09-14,2015-12-10,ARIMA,IBEX,0.0092643630068993,0.0125470216201919,0.009641236265675325,0.012890086261455675,0
27,2006-04-14,2015-12-10,2016-03-08,ARIMA,IBEX,0.0162978297159044,0.0198927378099694,0.011388265792952951,0.014753298802426975,0
28,2006-07-12,2016-03-08,2016-06-03,ARIMA,IBEX,0.0093137913191168,0.012521252085532,0.011893941424949553,0.015456173553244674,1
29,2006-10-09,2016-06-03,2016-08-31,ARIMA,IBEX,0.0130817145740621,0.0218013909165766,0.011989424653995651,0.016690600608067475,1
30,2007-01-04,2016-08-31,2016-11-28,ARIMA,IBEX,0.0075748352373447,0.0093071759419464,0.011567042711607002,0.015880639188506098,1
31,2007-04-03,2016-11-28,2017-02-23,ARIMA,IBEX,0.0060854558627497,0.008123813302772,0.009013949248318325,0.012938408061706748,0
32,2007-06-29,2017-02-23,2017-05-23,ARIMA,IBEX,0.0063804613820456,0.0091261082993695,0.008280616764050525,0.012089622115166124,0
33,2007-09-26,2017-05-23,2017-08-18,ARIMA,IBEX,0.0057852042943164,0.0073516167244018,0.0064564891941141,0.008477178567122424,0
34,2007-12-24,2017-08-18,2017-11-15,ARIMA,IBEX,0.0064335152515563,0.0088949945422524,0.006171159197667,0.008374133217198924,0
35,2008-03-20,2017-11-15,2018-02-12,ARIMA,IBEX,0.0061341173919934,0.00844247273036,0.006183324579977925,0.008453798074095922,0
36,2008-06-17,2018-02-12,2018-05-10,ARIMA,IBEX,0.0052884764400272,0.0070294409859352,0.005910328344473325,0.007929631245737348,0
37,2008-09-12,2018-05-10,2018-08-07,ARIMA,IBEX,0.0068022919106196,0.0084760474030571,0.006164600248549125,0.008210738915401174,0
38,2008-12-10,2018-08-07,2018-11-02,ARIMA,IBEX,0.0063359407743657,0.0076683496980945,0.006140206629251475,0.007904077704361698,0
39,2009-03-09,2018-11-02,2019-01-30,ARIMA,IBEX,0.0073167001207659,0.0097136140847958,0.0064358523114446,0.008221863042970647,0
40,2009-06-04,2019-01-30,2019-04-29,ARIMA,IBEX,0.0049689679483816,0.0067666547649446,0.0063559751885332,0.008156166487722999,0
41,2009-09-01,2019-04-29,2019-07-25,ARIMA,IBEX,0.0056225965969249,0.0070637287876156,0.006061051360109525,0.007803086833862624,0
42,2009-11-27,2019-07-25,2019-10-22,ARIMA,IBEX,0.0073979085497559,0.0094813932593881,0.006326543303957074,0.008256347724186024,0
43,2010-02-24,2019-10-22,2020-01-17,ARIMA,IBEX,0.0047539139656591,0.0066639843109688,0.005685846765180374,0.007493940280729274,0
44,2010-05-24,2020-01-17,2020-04-15,ARIMA,IBEX,0.0207887269800802,0.0329055611815274,0.009640786523105025,0.014028666884874974,0
45,2010-08-19,2020-04-15,2020-07-13,ARIMA,IBEX,0.0160081874524018,0.0195211015070219,0.012237184236974251,0.017143010064726547,1
46,2010-11-16,2020-07-13,2020-10-08,ARIMA,IBEX,0.0093338596402754,0.0122328341535509,0.012721172009604124,0.017830870288267246,1
47,2011-02-11,2020-10-08,2021-01-05,ARIMA,IBEX,0.0109108004519762,0.0162588609918878,0.0142603936311834,0.020229589458496997,1
48,2011-05-11,2021-01-05,2021-04-02,ARIMA,IBEX,0.0080411216436212,0.0103810153885902,0.01107349229706865,0.014598453010262698,0
49,2011-08-08,2021-04-02,2021-06-30,ARIMA,IBEX,0.0064774111582515,0.0087431423137755,0.008690798223531075,0.011903963211951099,0
50,2011-11-03,2021-06-30,2021-09-27,ARIMA,IBEX,0.007702044565074,0.0096336064662917,0.008282844454730725,0.011254156290136298,0
51,2012-01-31,2021-09-27,2021-12-23,ARIMA,IBEX,0.0091203018573016,0.0120690736267656,0.007835219806062076,0.010206709448855749,0
52,2012-04-27,2021-12-23,2022-03-22,ARIMA,IBEX,0.0104086982295335,0.0150379040505392,0.008427113952540151,0.011370931614342997,0
53,2012-07-25,2022-03-22,2022-06-17,ARIMA,IBEX,0.0097608383410158,0.0125561983644687,0.009247970748231225,0.012324195627016298,0
54,2012-10-22,2022-06-17,2022-09-14,ARIMA,IBEX,0.0081289581108872,0.010178806910768,0.009354699134684525,0.012460495738135374,0
55,2013-01-17,2022-09-14,2022-12-12,ARIMA,IBEX,0.00834162373669,0.0104069858467328,0.009160029604531626,0.012044973793127172,0
56,2013-04-16,2022-12-12,2023-03-09,ARIMA,IBEX,0.0063046247215566,0.0080612429416061,0.0081340112275374,0.010300808515893897,0
57,2013-07-12,2023-03-09,2023-06-06,ARIMA,IBEX,0.0080396253424964,0.0116023982401657,0.00770370797790755,0.010062358484818148,0
58,2013-10-09,2023-06-06,2023-09-01,ARIMA,IBEX,0.0056875600167364,0.0074877747914014,0.00709335845436985,0.009389600454976499,0
59,2014-01-06,2023-09-01,2023-11-29,ARIMA,IBEX,0.0064110086972209,0.0081016245481312,0.006610704694502575,0.008813260130326099,0
60,2014-04-03,2023-11-29,2024-02-26,ARIMA,IBEX,0.0052714532027626,0.0067050962669265,0.0063524118148040746,0.008474223461656197,0
61,2014-07-01,2024-02-26,2024-05-23,ARIMA,IBEX,0.0064289240798469,0.0082652047137822,0.0059497364991417,0.007639925080060323,0
62,2014-09-26,2024-05-23,2024-08-20,ARIMA,IBEX,0.0077689993065604,0.0094447840468473,0.0064700963215977,0.008129177393921798,0
63,2014-12-24,2024-08-20,2024-11-15,ARIMA,IBEX,0.0061881663119574,0.0080507741768865,0.006414385725281825,0.008116464801110623,0
64,2015-03-23,2024-11-15,2025-02-12,ARIMA,IBEX,0.0059939920712683,0.0077443925363974,0.00659502044240825,0.008376288868478347,0
65,2015-06-18,2025-02-12,2025-05-12,ARIMA,IBEX,0.0100199638685666,0.0152916300756697,0.007492780389588175,0.010132895208950223,0
66,2015-09-15,2025-05-12,2025-08-07,ARIMA,IBEX,0.0064137623208836,0.008334579148729,0.007153971143168975,0.009855343984420648,0
1,2000-01-04,2009-08-31,2009-11-26,ARIMA,SPX,0.008529034744567,0.0109599119485876,0.008529034744567,0.0109599119485876,0
2,2000-03-31,2009-11-26,2010-02-23,ARIMA,SPX,0.0071083695353824,0.0093782147644384,0.007818702139974699,0.010169063356513,0
3,2000-06-28,2010-02-23,2010-05-21,ARIMA,SPX,0.0081373763698354,0.0121003624171182,0.0079249268832616,0.010812829710048067,0
4,2000-09-25,2010-05-21,2010-08-18,ARIMA,SPX,0.0097875150680414,0.0137925802457495,0.00839057392945655,0.011557767343973424,1
5,2000-12-21,2010-08-18,2010-11-15,ARIMA,SPX,0.0065903522199828,0.009052227989619,0.0079059032983105,0.011080846354231275,1
6,2001-03-20,2010-11-15,2011-02-10,ARIMA,SPX,0.0047571139961452,0.0070049559099898,0.0073180894135012,0.010487531640619125,0
7,2001-06-15,2011-02-10,2011-05-10,ARIMA,SPX,0.0060812598825859,0.0079094694449527,0.006804060291688825,0.00943980839757775,0
8,2001-09-12,2011-05-10,2011-08-05,ARIMA,SPX,0.0080501538404345,0.0112353478167216,0.0063697199847871,0.008800500290320775,0
9,2001-12-10,2011-08-05,2011-11-02,ARIMA,SPX,0.0179522617755216,0.0225675737065831,0.0092101973736718,0.012179336719561801,1
10,2002-03-07,2011-11-02,2012-01-30,ARIMA,SPX,0.0085927772646278,0.0125984016358833,0.01016911319079245,0.013577698151035177,1
11,2002-06-04,2012-01-30,2012-04-26,ARIMA,SPX,0.0055420212543272,0.007306693853952,0.010034303533727775,0.013427004253285,1
12,2002-08-30,2012-04-26,2012-07-24,ARIMA,SPX,0.0073944631299166,0.0096605539250915,0.009870380856098298,0.013033305780377476,1
13,2002-11-27,2012-07-24,2012-10-19,ARIMA,SPX,0.0047994571786219,0.0069826448655368,0.006582179706873375,0.0091370735701159,0
14,2003-02-24,2012-10-19,2013-01-16,ARIMA,SPX,0.0053542792779583,0.0078946114119191,0.005772555210206,0.00796112601412485,0
15,2003-05-22,2013-01-16,2013-04-15,ARIMA,SPX,0.0049777396795074,0.0066813886540739,0.00563148481650105,0.0078047997141553254,0
16,2003-08-19,2013-04-15,2013-07-11,ARIMA,SPX,0.0067249025230545,0.0082988208305697,0.005464094664785525,0.007464366440524875,0
17,2003-11-14,2013-07-11,2013-10-08,ARIMA,SPX,0.0046169835808578,0.0058023417161881,0.0054184762653445,0.007169290653187701,0
18,2004-02-11,2013-10-08,2014-01-03,ARIMA,SPX,0.0045799912305427,0.0061978450107003,0.0052249042534906,0.006745099052883,0
19,2004-05-10,2014-01-03,2014-04-02,ARIMA,SPX,0.005519609888535,0.0073559875241196,0.0053603718057475,0.006913748770394425,0
20,2004-08-05,2014-04-02,2014-06-30,ARIMA,SPX,0.0042760911111791,0.0058167048914798,0.00474816895277865,0.00629321978562195,0
21,2004-11-02,2014-06-30,2014-09-25,ARIMA,SPX,0.0043085393758483,0.0058296136562414,0.004671057901526275,0.006300037770635275,0
22,2005-01-28,2014-09-25,2014-12-23,ARIMA,SPX,0.0064250674534546,0.0088868530676225,0.005132326957254249,0.006972289784865825,0
23,2005-04-27,2014-12-23,2015-03-20,ARIMA,SPX,0.0065296346678297,0.0083622101385442,0.005384833152077924,0.007223845438471975,0
24,2005-07-25,2015-03-20,2015-06-17,ARIMA,SPX,0.004752093469519,0.0060838877213287,0.005503833741662899,0.0072906411459342,0
25,2005-10-20,2015-06-17,2015-09-14,ARIMA,SPX,0.0086198580224702,0.0126663360083624,0.006581663403318375,0.00899982173396445,0
26,2006-01-17,2015-09-14,2015-12-10,ARIMA,SPX,0.0069577999780335,0.0092940937944462,0.0067148465344631005,0.009101631915670375,0
27,2006-04-14,2015-12-10,2016-03-08,ARIMA,SPX,0.0097967595885705,0.0122819554471802,0.0075316277646483,0.010081568242829375,0
28,2006-07-12,2016-03-08,2016-06-03,ARIMA,SPX,0.0045906435655878,0.0060801714610561,0.007491265288665501,0.010080639177761225,0
29,2006-10-09,2016-06-03,2016-08-31,ARIMA,SPX,0.0047346543300156,0.0075875120641122,0.00651996436555185,0.008810933191698674,0
30,2007-01-04,2016-08-31,2016-11-28,ARIMA,SPX,0.0048148209361157,0.00687088624432,0.0059842196050724,0.008205131304167125,0
31,2007-04-03,2016-11-28,2017-02-23,ARIMA,SPX,0.0031108076354033,0.0040939957716154,0.0043127316167806,0.006158141385275925,0
32,2007-06-29,2017-02-23,2017-05-23,ARIMA,SPX,0.0032731779871123,0.0047980665039302,0.003983365222161725,0.00583761514599445,0
33,2007-09-26,2017-05-23,2017-08-18,ARIMA,SPX,0.0029648519673561,0.004577722512601,0.0035409146314968496,0.005085167758116649,0
34,2007-12-24,2017-08-18,2017-11-15,ARIMA,SPX,0.0023985587875001,0.0033097906202832,0.00293684909434295,0.0041948938521074505,0
35,2008-03-20,2017-11-15,2018-02-12,ARIMA,SPX,0.005553727526664,0.0094989425502282,0.003547579067158125,0.0055461305467606505,0
36,2008-06-17,2018-02-12,2018-05-10,ARIMA,SPX,0.0082059009491933,0.0106407350591594,0.0047807598076783754,0.00700679768556795,0
37,2008-09-12,2018-05-10,2018-08-07,ARIMA,SPX,0.0042944730986549,0.0053822525003983,0.005113165090503076,0.007207930182517274,0
38,2008-12-10,2018-08-07,2018-11-02,ARIMA,SPX,0.0061206265405212,0.0093265439826281,0.006043682028758351,0.0087121185231035,0
39,2009-03-09,2018-11-02,2019-01-30,ARIMA,SPX,0.0098782856665532,0.0140227992477701,0.007124821563730651,0.009843082697488974,0
40,2009-06-04,2019-01-30,2019-04-29,ARIMA,SPX,0.0040825529492209,0.0056585749107712,0.00609398456373755,0.008597542660391925,0
41,2009-09-01,2019-04-29,2019-07-25,ARIMA,SPX,0.0055350271161207,0.0072492045204131,0.006404123068104,0.009064280665395625,0
42,2009-11-27,2019-07-25,2019-10-22,ARIMA,SPX,0.0076452187346576,0.010241872404795,0.0067852711166381,0.009293112770937351,0
43,2010-02-24,2019-10-22,2020-01-17,ARIMA,SPX,0.0033956277403089,0.004301119657596,0.005164606635077025,0.006862692873393826,0
44,2010-05-24,2020-01-17,2020-04-15,ARIMA,SPX,0.0258382243236137,0.0379742199402764,0.010603524478675226,0.014941604130770126,1
45,2010-08-19,2020-04-15,2020-07-13,ARIMA,SPX,0.0121034163253287,0.0159263336755442,0.012245621780977226,0.0171108864195529,1
46,2010-11-16,2020-07-13,2020-10-08,ARIMA,SPX,0.0085251060705779,0.010927841807915,0.0124655936149573,0.0172823787703329,1
47,2011-02-11,2020-10-08,2021-01-05,ARIMA,SPX,0.0072183676337492,0.0098123688458939,0.013421278588317376,0.018660191067407374,1
48,2011-05-11,2021-01-05,2021-04-02,ARIMA,SPX,0.0071799860677068,0.0096612746471795,0.00875671902434065,0.01158195474413315,1
49,2011-08-08,2021-04-02,2021-06-30,ARIMA,SPX,0.0050812142140456,0.0068473232162118,0.007001168496519875,0.00931220212930005,0
50,2011-11-03,2021-06-30,2021-09-27,ARIMA,SPX,0.0048913006816241,0.0063600865604724,0.006092717149281426,0.0081702633174394,0
51,2012-01-31,2021-09-27,2021-12-23,ARIMA,SPX,0.0072066636533036,0.009191573843741,0.006089791154170025,0.008015064566901176,0
52,2012-04-27,2021-12-23,2022-03-22,ARIMA,SPX,0.0103355654197794,0.0129745466046271,0.006878685992188176,0.008843382556263076,0
53,2012-07-25,2022-03-22,2022-06-17,ARIMA,SPX,0.0134139847707002,0.0174047881564732,0.008961878631351824,0.011482748791328426,1
54,2012-10-22,2022-06-17,2022-09-14,ARIMA,SPX,0.0098516848863869,0.0134138203041991,0.010201974682542525,0.013246182227260102,1
55,2013-01-17,2022-09-14,2022-12-12,ARIMA,SPX,0.0125440320999816,0.0157580021596174,0.011536316794212024,0.0148877893062292,1
56,2013-04-16,2022-12-12,2023-03-09,ARIMA,SPX,0.008320402325325,0.0104340354257658,0.011032526020598427,0.014252661511513874,1
57,2013-07-12,2023-03-09,2023-06-06,ARIMA,SPX,0.0065452550408981,0.0086008441078437,0.0093153435881479,0.0120516754993565,1
58,2013-10-09,2023-06-06,2023-09-01,ARIMA,SPX,0.0052289058138771,0.0064604283128102,0.00815964882002045,0.010313327501509276,0
59,2014-01-06,2023-09-01,2023-11-29,ARIMA,SPX,0.0060926475981146,0.0079931810687746,0.0065468026945537,0.008372122228798577,0
60,2014-04-03,2023-11-29,2024-02-26,ARIMA,SPX,0.0050274707769226,0.0068222492256219,0.0057235698074531004,0.0074691756787626015,0
61,2014-07-01,2024-02-26,2024-05-23,ARIMA,SPX,0.0054563468630153,0.0068729929964678,0.0054513427629824,0.0070372129009186254,0
62,2014-09-26,2024-05-23,2024-08-20,ARIMA,SPX,0.0063358784146093,0.0089827356195934,0.0057280859131654495,0.007667789727614426,0
63,2014-12-24,2024-08-20,2024-11-15,ARIMA,SPX,0.0057691832394685,0.0079303734638798,0.005647219823503925,0.007652087826390725,0
64,2015-03-23,2024-11-15,2025-02-12,ARIMA,SPX,0.0055323744902693,0.0075763166689928,0.0057734457518406,0.00784060468723345,0
65,2015-06-18,2025-02-12,2025-05-12,ARIMA,SPX,0.01274223626294,0.0198969708311211,0.007594918101821775,0.011096599145896776,1
66,2015-09-15,2025-05-12,2025-08-07,ARIMA,SPX,0.004860250601041,0.0065504242565409,0.0072260111484297,0.010488521305133652,0
