iteration,train_start,train_end,test_end,model,index,mae,rmse,mae_roll,rmse_roll,high_error_regime,cusum_rmse,cusumsq_rmse
1,2000-01-04,2009-08-31,2009-11-26,ARIMA,IBEX,0.0101867662864151,0.0124723833146993,0.0101867662864151,0.0124723833146993,0,0.03546431204597521,0.0012577174288943022
2,2000-03-31,2009-11-26,2010-02-23,ARIMA,IBEX,0.0101722782450459,0.0139955134172773,0.0101795222657305,0.0132339483659883,0,0.36102683394338186,0.10724867309309367
3,2000-06-28,2010-02-23,2010-05-21,ARIMA,IBEX,0.0164210374050157,0.0258687473624986,0.0122600273121589,0.0174455480314917,1,2.9479877136212966,6.799615266077025
4,2000-09-25,2010-05-21,2010-08-18,ARIMA,IBEX,0.0138274077313081,0.0184341245659299,0.0126518724169462,0.0176926921651012,1,4.1189364216831805,8.170736142988819
5,2000-12-21,2010-08-18,2010-11-15,ARIMA,IBEX,0.0088059247815531,0.0112081806493598,0.0123066620407307,0.0173766414987664,1,3.9136183281528627,8.212891662519743
6,2001-03-20,2010-11-15,2011-02-10,ARIMA,IBEX,0.0114041743368751,0.0155059988992339,0.012614636063688,0.0177542628692555,1,4.526870741793937,8.588970185356345
7,2001-06-15,2011-02-10,2011-05-10,ARIMA,IBEX,0.0076067732878974,0.0101857539755572,0.0104110700344084,0.0138335145225201,0,4.126819350515472,8.74901130102018
8,2001-09-12,2011-05-10,2011-08-05,ARIMA,IBEX,0.0115304740329261,0.0148599628116454,0.0098368366098129,0.012939974083949,0,4.617026521867896,8.989314371865525
9,2001-12-10,2011-08-05,2011-11-02,ARIMA,IBEX,0.0204326772246764,0.0250611709978369,0.0127435247205937,0.0164032216710683,1,7.050174895765669,14.909525381266903
10,2002-03-07,2011-11-02,2012-01-30,ARIMA,IBEX,0.0125927216073852,0.0162150396539395,0.0130406615382212,0.0165804818597447,1,7.7984725385067755,15.4694747433988
11,2002-06-04,2012-01-30,2012-04-26,ARIMA,IBEX,0.0117391990918161,0.0153990959854112,0.0140737679892009,0.0178838173622082,1,8.39136402311403,15.820995055918592
12,2002-08-30,2012-04-26,2012-07-24,ARIMA,IBEX,0.0161989281757516,0.0206679237053694,0.0152408815249073,0.0193358075856392,1,9.987766295794094,18.36949527213667
13,2002-11-27,2012-07-24,2012-10-19,ARIMA,IBEX,0.0155007298515293,0.0214024222101768,0.0140078946816205,0.0184211203887242,1,11.724062528302365,21.38421987915909
14,2003-02-24,2012-10-19,2013-01-16,ARIMA,IBEX,0.0068329482564634,0.0097127223467431,0.0125679513438901,0.0167955410619251,1,11.233916647728591,21.62446286340253
15,2003-05-22,2013-01-16,2013-04-15,ARIMA,IBEX,0.0113970519929899,0.0142962854413871,0.0124824145691835,0.0165198384259191,1,11.61676477222814,21.771035549835354
16,2003-08-19,2013-04-15,2013-07-11,ARIMA,IBEX,0.0098060736576996,0.012570641332567,0.0108842009396705,0.0144955178327185,0,11.670943490245559,21.773970883321365
17,2003-11-14,2013-07-11,2013-10-08,ARIMA,IBEX,0.0079922032517,0.0101711419388543,0.0090070692897132,0.0116876977648878,0,11.26810906311046,21.93624645900663
18,2004-02-11,2013-10-08,2014-01-03,ARIMA,IBEX,0.007326556857357,0.0090184595104565,0.0091304714399366,0.0115141320558162,0,10.64573258343538,22.323598941459373
19,2004-05-10,2014-01-03,2014-04-02,ARIMA,IBEX,0.0082995832579602,0.0110388418300888,0.0083561042561791,0.0106997711529916,0,10.408161901471727,22.380038770388047
20,2004-08-05,2014-04-02,2014-06-30,ARIMA,IBEX,0.0061342406794107,0.0082087880209446,0.0074381460116069,0.009609307825086,0,9.631573874616544,22.983127733842874
21,2004-11-02,2014-06-30,2014-09-25,ARIMA,IBEX,0.0077361571512714,0.0098684762018745,0.0073741344864998,0.0095336413908411,0,9.171093164782027,23.195170217972574
22,2005-01-28,2014-09-25,2014-12-23,ARIMA,IBEX,0.0128050995429208,0.0158266036469909,0.0087437701578907,0.0112356774249747,0,9.845408558687724,23.64987146843077
23,2005-04-27,2014-12-23,2015-03-20,ARIMA,IBEX,0.0093097116067939,0.0124398876460842,0.0089963022450992,0.0115859388789735,0,9.874683684874126,23.650728501444
24,2005-07-25,2015-03-20,2015-06-17,ARIMA,IBEX,0.0072910887911304,0.0097097530822612,0.0092855142730291,0.0119611801443027,0,9.383972272630198,23.891526191550433
25,2005-10-20,2015-06-17,2015-09-14,ARIMA,IBEX,0.0126997816578777,0.0168636826972854,0.0105264203996807,0.0137099817681554,0,10.255811683332386,24.651630149603974
26,2006-01-17,2015-09-14,2015-12-10,ARIMA,IBEX,0.0092643630068993,0.0125470216201919,0.0096412362656753,0.0128900862614556,0,10.305491746726915,24.65409825830286
27,2006-04-14,2015-12-10,2016-03-08,ARIMA,IBEX,0.0162978297159044,0.0198927378099694,0.0113882657929529,0.0147532988024269,0,11.754250663020684,26.753000655843557
28,2006-07-12,2016-03-08,2016-06-03,ARIMA,IBEX,0.0093137913191168,0.012521252085532,0.0118939414249495,0.0154561735532446,1,11.799022612616604,26.75500518331418
29,2006-10-09,2016-06-03,2016-08-31,ARIMA,IBEX,0.0130817145740621,0.0218013909165766,0.0119894246539956,0.0166906006080674,1,13.611307171609544,30.039380506078416
30,2007-01-04,2016-08-31,2016-11-28,ARIMA,IBEX,0.0075748352373447,0.0093071759419464,0.011567042711607,0.015880639188506,1,13.043920163804367,30.36130852270453
31,2007-04-03,2016-11-28,2017-02-23,ARIMA,IBEX,0.0060854558627497,0.008123813302772,0.0090139492483183,0.0129384080617067,0,12.251147693097161,30.98979671301574
32,2007-06-29,2017-02-23,2017-05-23,ARIMA,IBEX,0.0063804613820456,0.0091261082993695,0.0082806167640505,0.0120896221151661,0,11.649274203221497,31.35204841083085
33,2007-09-26,2017-05-23,2017-08-18,ARIMA,IBEX,0.0057852042943164,0.0073516167244018,0.0064564891941141,0.0084771785671224,0,10.70942772704395,32.2353598096142
34,2007-12-24,2017-08-18,2017-11-15,ARIMA,IBEX,0.0064335152515563,0.0088949945422524,0.006171159197667,0.0083741332171989,0,10.063535878461941,32.65253608967889
35,2008-03-20,2017-11-15,2018-02-12,ARIMA,IBEX,0.0061341173919934,0.00844247273036,0.0061833245799779,0.0084537980740959,0,9.331455878699334,33.18847721573131
36,2008-06-17,2018-02-12,2018-05-10,ARIMA,IBEX,0.0052884764400272,0.0070294409859352,0.0059103283444733,0.0079296312457373,0,8.330247208426528,34.19089601716075
37,2008-09-12,2018-05-10,2018-08-07,ARIMA,IBEX,0.0068022919106196,0.0084760474030571,0.0061646002485491,0.0082107389154011,0,7.604561903660291,34.71751517871442
38,2008-12-10,2018-08-07,2018-11-02,ARIMA,IBEX,0.0063359407743657,0.0076683496980945,0.0061402066292514,0.0079040777043616,0,6.725040982413117,35.4910722296259
39,2009-03-09,2018-11-02,2019-01-30,ARIMA,IBEX,0.0073167001207659,0.0097136140847958,0.0064358523114446,0.0082218630429706,0,6.235064943937734,35.73114874790593
40,2009-06-04,2019-01-30,2019-04-29,ARIMA,IBEX,0.0049689679483816,0.0067666547649446,0.0063559751885332,0.0081561664877229,0,5.183805518214711,36.836295128077424
41,2009-09-01,2019-04-29,2019-07-25,ARIMA,IBEX,0.0056225965969249,0.0070637287876156,0.0060610513601095,0.0078030868338626,0,4.1891273668190445,37.825679752941326
42,2009-11-27,2019-07-25,2019-10-22,ARIMA,IBEX,0.0073979085497559,0.0094813932593881,0.006326543303957,0.008256347724186,0,3.6549221153388283,38.111055003650364
43,2010-02-24,2019-10-22,2020-01-17,ARIMA,IBEX,0.0047539139656591,0.0066639843109688,0.0056858467651803,0.0074939402807292,0,2.5841078828054083,39.2576981242465
44,2010-05-24,2020-01-17,2020-04-15,ARIMA,IBEX,0.0207887269800802,0.0329055611815274,0.009640786523105,0.0140286668848749,0,6.511313491743756,54.68064201912332
45,2010-08-19,2020-04-15,2020-07-13,ARIMA,IBEX,0.0160081874524018,0.0195211015070219,0.0122371842369742,0.0171430100647265,1,7.889289862266553,56.5794608968425
46,2010-11-16,2020-07-13,2020-10-08,ARIMA,IBEX,0.0093338596402754,0.0122328341535509,0.0127211720096041,0.0178308702882672,1,7.879129192767654,56.57956413604716
47,2011-02-11,2020-10-08,2021-01-05,ARIMA,IBEX,0.0109108004519762,0.0162588609918878,0.0142603936311834,0.0202295894584969,1,8.63577312954535,57.15207418310961
48,2011-05-11,2021-01-05,2021-04-02,ARIMA,IBEX,0.0080411216436212,0.0103810153885902,0.0110734922970686,0.0145984530102626,0,8.272911592421865,57.28374267823323
49,2011-08-08,2021-04-02,2021-06-30,ARIMA,IBEX,0.0064774111582515,0.0087431423137755,0.008690798223531,0.011903963211951,0,7.598097684215048,57.73911648894259
50,2011-11-03,2021-06-30,2021-09-27,ARIMA,IBEX,0.007702044565074,0.0096336064662917,0.0082828444547307,0.0112541562901362,0,7.092883244986354,57.99435811854776
51,2012-01-31,2021-09-27,2021-12-23,ARIMA,IBEX,0.0091203018573016,0.0120690736267656,0.007835219806062,0.0102067094488557,0,7.051532439080635,57.99606800769681
52,2012-04-27,2021-12-23,2022-03-22,ARIMA,IBEX,0.0104086982295335,0.0150379040505392,0.0084271139525401,0.0113709316143429,0,7.575630631807048,58.270746923315905
53,2012-07-25,2022-03-22,2022-06-17,ARIMA,IBEX,0.0097608383410158,0.0125561983644687,0.0092479707482312,0.0123241956270162,0,7.627058515090672,58.27339175049494
54,2012-10-22,2022-06-17,2022-09-14,ARIMA,IBEX,0.0081289581108872,0.010178806910768,0.0093546991346845,0.0124604957381353,0,7.225683972851132,58.43449327365294
55,2013-01-17,2022-09-14,2022-12-12,ARIMA,IBEX,0.00834162373669,0.0104069858467328,0.0091600296045316,0.0120449737931271,0,6.8677688177887966,58.56259653187624
56,2013-04-16,2022-12-12,2023-03-09,ARIMA,IBEX,0.0063046247215566,0.0080612429416061,0.0081340112275374,0.0103008085158938,0,6.06307907899447,59.21012210759712
57,2013-07-12,2023-03-09,2023-06-06,ARIMA,IBEX,0.0080396253424964,0.0116023982401657,0.0077037079779075,0.0100623584848181,0,5.932844405581166,59.22708317775619
58,2013-10-09,2023-06-06,2023-09-01,ARIMA,IBEX,0.0056875600167364,0.0074877747914014,0.0070933584543698,0.0093896004549764,0,5.01893084966208,60.062321165448864
59,2014-01-06,2023-09-01,2023-11-29,ARIMA,IBEX,0.0064110086972209,0.0081016245481312,0.0066107046945025,0.008813260130326,0,4.221932267220076,60.69752790586343
60,2014-04-03,2023-11-29,2024-02-26,ARIMA,IBEX,0.0052714532027626,0.0067050962669265,0.006352411814804,0.0084742234616561,0,3.158948294758749,61.827462831573094
61,2014-07-01,2024-02-26,2024-05-23,ARIMA,IBEX,0.0064289240798469,0.0082652047137822,0.0059497364991417,0.0076399250800603,0,2.3931054968043837,62.413978022751664
62,2014-09-26,2024-05-23,2024-08-20,ARIMA,IBEX,0.0077689993065604,0.0094447840468473,0.0064700963215977,0.0081291773939217,0,1.8519275861900717,62.70685155368854
63,2014-12-24,2024-08-20,2024-11-15,ARIMA,IBEX,0.0061881663119574,0.0080507741768865,0.0064143857252818,0.0081164648011106,0,1.0452439468751185,63.35759004762696
64,2015-03-23,2024-11-15,2025-02-12,ARIMA,IBEX,0.0059939920712683,0.0077443925363974,0.0065950204424082,0.0083762888684783,0,0.18020628692411034,64.10588020076047
65,2015-06-18,2025-02-12,2025-05-12,ARIMA,IBEX,0.0100199638685666,0.0152916300756697,0.0074927803895881,0.0101328952089502,0,0.7526296132412097,64.4335486652724
66,2015-09-15,2025-05-12,2025-08-07,ARIMA,IBEX,0.0064137623208836,0.008334579148729,0.0071539711431689,0.0098553439844206,0,-6.661338147750939e-15,65.00000000000001
1,2000-01-04,2009-08-31,2009-11-26,ARIMA,SPX,0.008529034744567,0.0109599119485876,0.008529034744567,0.0109599119485876,0,0.2762881138216914,0.0763351218391479
2,2000-03-31,2009-11-26,2010-02-23,ARIMA,SPX,0.0071083695353824,0.0093782147644384,0.0078187021399746,0.010169063356513,0,0.24357288453218315,0.07740540806661299
3,2000-06-28,2010-02-23,2010-05-21,ARIMA,SPX,0.0081373763698354,0.0121003624171182,0.0079249268832616,0.010812829710048,0,0.7426615514308201,0.32649490549327165
4,2000-09-25,2010-05-21,2010-08-18,ARIMA,SPX,0.0097875150680414,0.0137925802457495,0.0083905739294565,0.0115577673439734,1,1.5723450828582937,1.0148696678152351
5,2000-12-21,2010-08-18,2010-11-15,ARIMA,SPX,0.0065903522199828,0.009052227989619,0.0079059032983105,0.0110808463542312,1,1.4759444628134013,1.0241627473602748
6,2001-03-20,2010-11-15,2011-02-10,ARIMA,SPX,0.0047571139961452,0.0070049559099898,0.0073180894135012,0.0104875316406191,0,0.9795849105510717,1.2705355524823352
7,2001-06-15,2011-02-10,2011-05-10,ARIMA,SPX,0.0060812598825859,0.0079094694449527,0.0068040602916888,0.0094398083975777,0,0.6599328273250531,1.3727130067930686
8,2001-09-12,2011-05-10,2011-08-05,ARIMA,SPX,0.0080501538404345,0.0112353478167216,0.0063697199847871,0.0088005002903207,0,0.9900306114926665,1.4816775539054368
9,2001-12-10,2011-08-05,2011-11-02,ARIMA,SPX,0.0179522617755216,0.0225675737065831,0.0092101973736718,0.0121793367195618,1,3.5340134047191203,7.953526006137707
10,2002-03-07,2011-11-02,2012-01-30,ARIMA,SPX,0.0085927772646278,0.0125984016358833,0.0101691131907924,0.0135776981510351,1,4.130399952110405,8.309202920047005
11,2002-06-04,2012-01-30,2012-04-26,ARIMA,SPX,0.0055420212543272,0.007306693853952,0.0100343035337277,0.013427004253285,1,3.6929884933024955,8.50053170434347
12,2002-08-30,2012-04-26,2012-07-24,ARIMA,SPX,0.0073944631299166,0.0096605539250915,0.0098703808560982,0.0130333057803774,1,3.71543157459691,8.501035396241457
13,2002-11-27,2012-07-24,2012-10-19,ARIMA,SPX,0.0047994571786219,0.0069826448655368,0.0065821797068733,0.0091370735701159,0,3.214713294637921,8.751754192126546
14,2003-02-24,2012-10-19,2013-01-16,ARIMA,SPX,0.0053542792779583,0.0078946114119191,0.005772555210206,0.0079611260141248,0,2.892158518073728,8.855795776010922
15,2003-05-22,2013-01-16,2013-04-15,ARIMA,SPX,0.0049777396795074,0.0066813886540739,0.005631484816501,0.0078047997141553,0,2.332586256829362,9.168916891565056
16,2003-08-19,2013-04-15,2013-07-11,ARIMA,SPX,0.0067249025230545,0.0082988208305697,0.0054640946647855,0.0074643664405248,0,2.0889985941550853,9.228251840972174
17,2003-11-14,2013-07-11,2013-10-08,ARIMA,SPX,0.0046169835808578,0.0058023417161881,0.0054184762653445,0.0071692906531877,0,1.357694066279363,9.763058153463707
18,2004-02-11,2013-10-08,2014-01-03,ARIMA,SPX,0.0045799912305427,0.0061978450107003,0.0052249042534906,0.006745099052883,0,0.7036558074723951,10.190824197446958
19,2004-05-10,2014-01-03,2014-04-02,ARIMA,SPX,0.005519609888535,0.0073559875241196,0.0053603718057475,0.0069137487703944,0,0.2758744529781642,10.373821084699877
20,2004-08-05,2014-04-02,2014-06-30,ARIMA,SPX,0.0042760911111791,0.0058167048914798,0.0047481689527786,0.0062932197856219,0,-0.45262405790055943,10.904531165052395
21,2004-11-02,2014-06-30,2014-09-25,ARIMA,SPX,0.0043085393758483,0.0058296136562414,0.0046710579015262,0.0063000377706352,0,-1.1786006881647482,11.431573232742142
22,2005-01-28,2014-09-25,2014-12-23,ARIMA,SPX,0.0064250674534546,0.0088868530676225,0.0051323269572542,0.0069722897848658,0,-1.307309264672976,11.448139130408917
23,2005-04-27,2014-12-23,2015-03-20,ARIMA,SPX,0.0065296346678297,0.0083622101385442,0.0053848331520779,0.0072238454384719,0,-1.5385130726638656,11.501594331238405
24,2005-07-25,2015-03-20,2015-06-17,ARIMA,SPX,0.004752093469519,0.0060838877213287,0.0055038337416628,0.0072906411459342,0,-2.214814242311543,11.958977603305222
25,2005-10-20,2015-06-17,2015-09-14,ARIMA,SPX,0.0086198580224702,0.0126663360083624,0.0065816634033183,0.0089998217339644,0,-1.6051559078686204,12.33066088806094
26,2006-01-17,2015-09-14,2015-12-10,ARIMA,SPX,0.0069577999780335,0.0092940937944462,0.0067148465344631,0.0091016319156703,0,-1.6543051684087622,12.333076537872582
27,2006-04-14,2015-12-10,2016-03-08,ARIMA,SPX,0.0097967595885705,0.0122819554471802,0.0075316277646483,0.0100815682428293,0,-1.1197401448868858,12.618836302245526
28,2006-07-12,2016-03-08,2016-06-03,ARIMA,SPX,0.0045906435655878,0.0060801714610561,0.0074912652886655,0.0100806391777612,0,-1.796767330145903,13.077202111825274
29,2006-10-09,2016-06-03,2016-08-31,ARIMA,SPX,0.0047346543300156,0.0075875120641122,0.0065199643655518,0.0088109331916986,0,-2.179317614124902,13.223546831597687
30,2007-01-04,2016-08-31,2016-11-28,ARIMA,SPX,0.0048148209361157,0.00687088624432,0.0059842196050724,0.0082051313041671,0,-2.7018692689697836,13.49660706357881
31,2007-04-03,2016-11-28,2017-02-23,ARIMA,SPX,0.0031108076354033,0.0040939957716154,0.0043127316167806,0.0061581413852759,0,-3.7669194805032635,14.630939016666321
32,2007-06-29,2017-02-23,2017-05-23,ARIMA,SPX,0.0032731779871123,0.0047980665039302,0.0039833652221617,0.0058376151459944,0,-4.694421106724536,15.491198283309426
33,2007-09-26,2017-05-23,2017-08-18,ARIMA,SPX,0.0029648519673561,0.004577722512601,0.0035409146314968,0.0050851677581166,0,-5.664969550400827,16.4331625648319
34,2007-12-24,2017-08-18,2017-11-15,ARIMA,SPX,0.0023985587875001,0.0033097906202832,0.0029368490943429,0.0041948938521074,0,-6.883223558384776,17.917305392800856
35,2008-03-20,2017-11-15,2018-02-12,ARIMA,SPX,0.005553727526664,0.0094989425502282,0.0035475790671581,0.0055461305467606,0,-6.892353179892143,17.917388742789722
36,2008-06-17,2018-02-12,2018-05-10,ARIMA,SPX,0.0082059009491933,0.0106407350591594,0.0047807598076783,0.0070067976855679,0,-6.678420064780397,17.96315612053114
37,2008-09-12,2018-05-10,2018-08-07,ARIMA,SPX,0.0042944730986549,0.0053822525003983,0.005113165090503,0.0072079301825172,0,-7.491794013645722,18.624733301223912
38,2008-12-10,2018-08-07,2018-11-02,ARIMA,SPX,0.0061206265405212,0.0093265439826281,0.0060436820287583,0.0087121185231035,0,-7.534603744259857,18.62656597425917
39,2009-03-09,2018-11-02,2019-01-30,ARIMA,SPX,0.0098782856665532,0.0140227992477701,0.0071248215637306,0.0098430826974889,0,-6.659944194676067,19.391595301937286
40,2009-06-04,2019-01-30,2019-04-29,ARIMA,SPX,0.0040825529492209,0.0056585749107712,0.0060939845637375,0.0085975426603919,0,-7.419335276632705,19.968270117292562
41,2009-09-01,2019-04-29,2019-07-25,ARIMA,SPX,0.0055350271161207,0.0072492045204131,0.006404123068104,0.0090642806653956,0,-7.8679779599978685,20.169550374629654
42,2009-11-27,2019-07-25,2019-10-22,ARIMA,SPX,0.0076452187346576,0.010241872404795,0.0067852711166381,0.0092931127709373,0,-7.731967404827394,20.188049245747436
43,2010-02-24,2019-10-22,2020-01-17,ARIMA,SPX,0.0033956277403089,0.004301119657596,0.005164606635077,0.0068626928733938,0,-8.756553503604287,21.23782591955429
44,2010-05-24,2020-01-17,2020-04-15,ARIMA,SPX,0.0258382243236137,0.0379742199402764,0.0106035244786752,0.0149416041307701,1,-3.2026992633956457,52.0831228410378
45,2010-08-19,2020-04-15,2020-07-13,ARIMA,SPX,0.0121034163253287,0.0159263336755442,0.0122456217809772,0.0171108864195529,1,-1.9561616401805517,53.636978887128535
46,2010-11-16,2020-07-13,2020-10-08,ARIMA,SPX,0.0085251060705779,0.010927841807915,0.0124655936149573,0.0172823787703329,1,-1.686138809487129,53.70989121622422
47,2011-02-11,2020-10-08,2021-01-05,ARIMA,SPX,0.0072183676337492,0.0098123688458939,0.0134212785883173,0.0186601910674073,1,-1.6340368791208313,53.712605827372116
48,2011-05-11,2021-01-05,2021-04-02,ARIMA,SPX,0.0071799860677068,0.0096612746471795,0.0087567190243406,0.0115819547441331,1,-1.611452996200873,53.713115859139855
49,2011-08-08,2021-04-02,2021-06-30,ARIMA,SPX,0.0050812142140456,0.0068473232162118,0.0070011684965198,0.0093122021293,0,-2.1386079686290587,53.991008224095616
50,2011-11-03,2021-06-30,2021-09-27,ARIMA,SPX,0.0048913006816241,0.0063600865604724,0.0060927171492814,0.0081702633174394,0,-2.760950412476295,54.37831834150936
51,2012-01-31,2021-09-27,2021-12-23,ARIMA,SPX,0.0072066636533036,0.009191573843741,0.00608979115417,0.0080150645669011,0,-2.830128163817944,54.38310390279005
52,2012-04-27,2021-12-23,2022-03-22,ARIMA,SPX,0.0103355654197794,0.0129745466046271,0.0068786859921881,0.008843382556263,0,-2.160257226366995,54.83183097563146
53,2012-07-25,2022-03-22,2022-06-17,ARIMA,SPX,0.0134139847707002,0.0174047881564732,0.0089618786313518,0.0114827487913284,1,-0.6248859491357981,57.18919593457802
54,2012-10-22,2022-06-17,2022-09-14,ARIMA,SPX,0.0098516848863869,0.0134138203041991,0.0102019746825425,0.0132461822272601,1,0.13080232621575905,57.76026070408183
55,2013-01-17,2022-09-14,2022-12-12,ARIMA,SPX,0.0125440320999816,0.0157580021596174,0.011536316794212,0.0148877893062292,1,1.3444543872046442,59.2332120292244
56,2013-04-16,2022-12-12,2023-03-09,ARIMA,SPX,0.008320402325325,0.0104340354257658,0.0110325260205984,0.0142526615115138,1,1.5180062723448404,59.26333228606011
57,2013-07-12,2023-03-09,2023-06-06,ARIMA,SPX,0.0065452550408981,0.0086008441078437,0.0093153435881479,0.0120516754993565,1,1.3334224463785793,59.29740347486845
58,2013-10-09,2023-06-06,2023-09-01,ARIMA,SPX,0.0052289058138771,0.0064604283128102,0.0081596488200204,0.0103133275015092,0,0.730682956394281,59.66069836765499
59,2014-01-06,2023-09-01,2023-11-29,ARIMA,SPX,0.0060926475981146,0.0079931810687746,0.0065468026945537,0.0083721222287985,0,0.42738493377952197,59.75268805817701
60,2014-04-03,2023-11-29,2024-02-26,ARIMA,SPX,0.0050274707769226,0.0068222492256219,0.0057235698074531,0.0074691756787626,0,-0.10466854071028647,60.03576895789369
61,2014-07-01,2024-02-26,2024-05-23,ARIMA,SPX,0.0054563468630153,0.0068729929964678,0.0054513427629824,0.0070372129009186,0,-0.6268086164847233,60.30839921662342
62,2014-09-26,2024-05-23,2024-08-20,ARIMA,SPX,0.0063358784146093,0.0089827356195934,0.0057280859131654,0.0076677897276144,0,-0.7367853969184842,60.320494108858
63,2014-12-24,2024-08-20,2024-11-15,ARIMA,SPX,0.0057691832394685,0.0079303734638798,0.0056472198235039,0.0076520878263907,0,-1.052353631606574,60.42007741960216
64,2015-03-23,2024-11-15,2025-02-12,ARIMA,SPX,0.0055323744902693,0.0075763166689928,0.0057734457518406,0.0078406046872334,0,-1.437091069077413,60.568100315393785
65,2015-06-18,2025-02-12,2025-05-12,ARIMA,SPX,0.01274223626294,0.0198969708311211,0.0075949181018217,0.0110965991458967,1,0.5851577127908347,64.6575904511614
66,2015-09-15,2025-05-12,2025-08-07,ARIMA,SPX,0.004860250601041,0.0065504242565409,0.0072260111484297,0.0104885213051336,0,-3.9968028886505635e-15,65.0
